Menu Type,Menu Depth,Menu Breadth,Target Item
Radial,1,4,Clothing
Radial,1,4,Animals
Radial,1,4,Food
Radial,1,2,Continents
Radial,1,2,Clothing
Radial,1,2,Food
Radial,2,4,Europe
Radial,2,4,Bottoms
Radial,2,4,Fruit
Radial,2,2,Asia
Radial,2,2,Fish
Radial,2,2,Hats
Radial,3,4,Apple
Radial,3,4,Penguin
Radial,3,4,Coat
Radial,3,2,Parrot
Radial,3,2,Germany
Radial,3,2,Milk
Marking,1,4,Continents
Marking,1,4,Clothing
Marking,1,4,Animals
Marking,1,2,Food
Marking,1,2,Continents
Marking,1,2,Animals
Marking,2,4,Meat
Marking,2,4,Mammals
Marking,2,4,Tops
Marking,2,2,Birds
Marking,2,2,Africa
Marking,2,2,Vegetables
Marking,3,4,Orange
Marking,3,4,Cheese
Marking,3,4,T-Shirt
Marking,3,2,USA
Marking,3,2,Owl
Marking,3,2,Jacket
